# Page recording

Recorded for 337 seconds.
Every four-byte word, and what it did. A word that never changed is
padding, a setting, or something this session never reached — and a
word that swept a wide range is a live measurement.


═══ acpmf_physics ═══
2048 bytes, 8376 samples

── words that changed (128 of 512) ──
offset       float min      float max       int min      int max  values
     0          0.0000         0.0000             0       130019     32+
     4          0.0000         1.0000             0   1065353216     32+
     8          0.0000         1.0000             0   1065353216     32+
    12          0.0000        62.0000             0   1115160576       2
    16          0.0000         0.0000             0            7       8
    20          0.0000         0.0000             0         8511     32+
    24         -0.9000         1.0000   -1156352096   1065353216     32+
    28          0.0000       252.7299             0   1132247771     32+
    32        -47.9232        55.8804   -1210246104   1113556363     32+
    36         -4.1881         7.6099   -1199402281   1089700921     32+
    40        -65.9349        66.5349   -1221334504   1116017124     32+
    44         -9.2430         8.5064   -1220000336   1091050004     32+
    48         -1.2851         1.8994   -1215572849   1072898265     32+
    52         -2.8845         1.1347   -1178445382   1066482909     32+
    56          0.0000         8.7247             0   1091278968     32+
    60          0.0000        12.6533             0   1095398424     32+
    64          0.0000         4.8397             0   1083891400     32+
    68          0.0000         5.3003             0   1084857347     32+
    88          0.0000        27.7651             0   1105075954     32+
    92          0.0000        27.3240             0   1104844685     32+
    96          0.0000        26.7629             0   1104550519     32+
   100          0.0000        26.5579             0   1104443030     32+
   104         -0.1179       203.6878   -1177804886   1129033747     32+
   108         -0.2515       203.6873   -1136544625   1129033714     32+
   112         -0.0052       200.9287   -1147329165   1128852927     32+
   116         -0.0052       200.9287   -1147329165   1128852927     32+
   152          0.0000        92.4582             0   1119414933     32+
   156          0.0000        87.8647             0   1118812854     32+
   160          0.0000        90.3505             0   1119138671     32+
   164          0.0000        88.2116             0   1118858330     32+
   184         -0.0065         0.0323   -1207303705   1023692761     32+
   188         -0.0074         0.0327   -1207156518   1023794744     32+
   192         -0.0085         0.0751   -1187203771   1033492431     32+
   196         -0.0096         0.0723   -1208347350   1033116003     32+
   204          0.0000         1.0000             0   1065353216       2
   208         -3.1397         3.1414   -1176599228   1078529104     32+
   212         -0.0951         0.1787   -1220903227   1043791610     32+
   216         -0.1111         0.0689   -1210709324   1032655808     32+
   248          0.0000         0.0000             0            1       2
   252          0.0000         1.0000             0   1065353216       2
   264          0.0000         0.0000             0            1       2
   276          0.0000         0.0254             0   1020246941     32+
   288          0.0000        27.1564             0   1104756826     32+
   292          0.0000        27.9847             0   1105191083     32+
   296         -0.5717         0.6658   -1233014577   1059745956     32+
   300         -3.2493         1.9205   -1242075774   1073074949     32+
   304         -0.9063         0.7798   -1227671745   1061659041     32+
   308         -1.7876         2.2109   -1308047987   1074626305     32+
